[header]
width=40
height=30
tilewidth=16
tileheight=16

[tilesets]
tileset=../Sprites/zeldaTileset16.gif,16,16,0,0

[layer]
type=Tile Layer 1
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,
1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,
949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,
1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,
949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,
1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,
949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,
1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,
949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,949,950,
1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014,1013,1014

